ido,hom,para,leg
19:26,33.8,18.6,1005.4
19:26,33.8,18.6,1005.4
19:27,33.8,18.6,1005.4
19:27,33.8,18.3,1005.4
19:28,33.8,18.5,1005.4
19:28,33.9,18.6,1005.3
19:28,33.9,18.7,1005.4
19:29,33.9,18.4,1005.3
19:29,33.9,18.1,1005.3
19:30,33.9,18.6,1005.3
19:30,34.0,18.4,1005.3
19:30,34.0,18.4,1005.3
19:31,34.0,18.5,1005.3
19:31,34.0,18.3,1005.3
19:32,34.0,18.2,1005.3
19:32,34.0,18.6,1005.3
19:33,34.1,18.0,1005.3
19:33,34.0,18.2,1005.3
19:33,34.0,18.5,1005.3
19:34,34.0,18.4,1005.3
19:34,34.0,18.0,1005.3
19:35,34.1,19.2,1005.3
19:35,34.1,18.4,1005.3
19:35,34.1,18.6,1005.3
19:36,34.0,18.5,1005.3
19:36,34.1,18.6,1005.3
19:37,34.0,18.3,1005.3
19:37,34.0,18.2,1005.3
19:38,34.1,18.5,1005.4
19:38,34.1,18.2,1005.4
19:38,34.3,18.4,1005.4
19:39,34.4,18.2,1005.4
19:39,34.4,18.2,1005.4
19:40,34.5,18.4,1005.4
19:40,34.7,18.3,1005.4
19:40,34.7,18.3,1005.4
19:41,34.8,18.2,1005.4
19:41,34.9,18.1,1005.4
19:42,34.9,18.2,1005.3
19:42,34.9,18.1,1005.3
19:43,34.9,18.1,1005.3
19:43,34.9,18.0,1005.4
19:43,34.9,18.3,1005.3
19:44,34.9,17.8,1005.3
19:44,35.0,17.5,1005.3
19:45,35.0,18.0,1005.2
19:45,34.9,18.1,1005.2
19:45,35.1,18.0,1005.2
19:46,35.0,17.8,1005.2
19:46,34.9,18.2,1005.2
19:47,35.0,17.6,1005.2
19:47,34.9,17.7,1005.2
19:48,34.9,17.9,1005.2
19:48,34.9,17.7,1005.2
19:51,35.0,17.8,1005.2
19:52,34.9,17.4,1005.2
19:53,34.9,17.6,1005.2
19:53,34.9,17.7,1005.1
19:53,34.9,17.6,1005.1
19:54,35.0,17.9,1005.1
19:54,34.9,17.2,1005.2
19:55,35.0,17.6,1005.1
19:55,35.0,17.7,1005.2
19:56,34.9,17.6,1005.1
19:56,34.9,17.8,1005.2
19:56,34.8,17.7,1005.1
19:57,34.8,17.9,1005.1
19:57,34.9,17.2,1005.1
19:58,34.9,17.7,1005.1
19:58,34.8,17.8,1005.1
19:58,35.0,18.0,1005.1
19:59,34.9,17.9,1005.1
19:59,34.8,17.5,1005.0
20:00,34.9,17.8,1005.0
20:00,31.5,20.2,1005.2
20:01,30.9,19.7,1005.1
20:01,31.1,19.1,1005.0
20:01,31.2,19.1,1005.1
20:02,31.4,19.6,1005.1
20:02,31.4,18.3,1005.1
20:03,31.4,19.1,1005.1
20:03,31.5,18.9,1005.0
20:03,31.5,19.2,1005.0
20:04,31.7,19.0,1005.0
20:04,31.6,19.0,1005.0
20:05,31.7,18.9,1005.0
20:05,31.5,19.7,1005.0
20:05,31.7,19.2,1005.0
20:06,31.8,19.4,1005.0
20:06,31.7,19.0,1005.0
20:07,31.7,19.2,1005.0
20:07,31.8,19.3,1005.0
20:07,31.7,19.1,1005.0
20:08,31.5,19.0,1005.0
20:08,31.5,19.3,1005.0
20:09,31.5,19.1,1005.0
20:09,31.3,19.2,1005.0
20:10,31.5,19.1,1005.0
20:10,31.4,19.5,1005.0
20:10,31.4,19.3,1005.0
20:11,31.3,19.6,1005.0
20:11,31.3,19.5,1005.0
20:12,31.3,19.4,1005.0
20:12,31.4,19.8,1005.0
20:12,31.3,19.4,1005.0
20:13,31.3,18.6,1005.0
20:13,31.1,19.2,1004.9
20:14,31.1,19.4,1004.9
20:14,31.1,19.2,1004.9
20:15,31.1,19.5,1004.9
20:15,31.0,19.5,1004.9
20:15,31.0,19.5,1004.9
20:16,30.9,19.5,1004.9
20:16,30.9,19.4,1004.9
20:17,30.9,19.5,1004.9
20:17,30.9,19.5,1004.9
20:18,30.9,19.1,1004.9
20:18,30.9,19.6,1004.9
20:18,30.9,19.6,1004.9
20:39,13.1,36.1,0
20:39,13.6,36.2,1005.6
20:40,14.0,35.3,1005.6
20:40,14.6,34.8,1005.6
20:40,15.1,33.7,1005.6
20:41,15.7,33.0,1005.6
20:41,16.0,32.9,1005.6
20:42,16.5,32.4,1005.7
20:42,16.8,31.4,1005.6
20:42,17.2,31.5,1005.6
20:43,17.6,31.1,1005.6
20:43,18.0,30.3,1005.5
20:43,18.4,30.1,1005.6
20:44,18.7,30.1,1005.5
20:44,19.1,29.1,1005.5
20:45,19.3,26.9,1005.5
20:45,19.8,28.6,1005.4
20:45,20.1,28.0,1005.5
20:46,20.4,27.7,1005.5
20:46,20.7,27.5,1005.5
20:46,21.1,29.1,1005.4
20:47,21.4,27.2,1005.5
